,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1629.8865979381444,3.703459081524543,L2S_num_max,1579.5257731958764,3.66199990379934,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1591.95,4.047928834367184,L2S_num_max,1535.2,4.156069223726315,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,26.019607843137255,14.572805460079278,L2S_num_sum,1487.7307692307693,3.4351745130399585,L2S_num_max,1427.320512820513,3.297921806482509,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,280.80281690140845,34.583987058354595,L2S_num_sum,1326.0704225352113,4.517674832568376,L2S_num_max,1268.9859154929577,4.536172211578521,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,729.6119402985074,23.54126793303657,L2S_num_sum,1108.2835820895523,4.241617480011984,L2S_num_max,1063.6716417910447,4.07057749127611,Adult_num,1.5217391304347827,0.18723666849528875,Food_cons_Ad,3.1716370798717203e-05,1.724390006699209e-05
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1745.2637362637363,4.122626898387155,L2S_num_max,1690.3076923076924,4.121111918536294,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1703.7738095238096,4.2490035006864515,L2S_num_max,1643.142857142857,4.077847704145542,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,25.137254901960784,7.528873551025276,L2S_num_sum,1598.662162162162,4.279795788440633,L2S_num_max,1533.3513513513512,4.307052000971384,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,283.2112676056338,35.92094447126116,L2S_num_sum,1434.2112676056338,4.070254046765926,L2S_num_max,1371.7042253521126,3.7512382592076086,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,817.6197183098592,24.234089482320055,L2S_num_sum,1186.774647887324,4.1009493518891444,L2S_num_max,1134.380281690141,4.026540031669006,Adult_num,1.4324324324324325,0.13163638915497713,Food_cons_Ad,7.272543622635793e-05,0.0
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1773.3478260869565,3.8003958724130515,L2S_num_max,1718.891304347826,3.7487840526396248,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1738.9411764705883,4.149730946736371,L2S_num_max,1678.0470588235294,4.0678388085183075,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,35.280701754385966,10.527138647871357,L2S_num_sum,1622.2162162162163,4.608327148525584,L2S_num_max,1555.0675675675675,4.643903420459612,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,286.0149253731343,37.20570328112127,L2S_num_sum,1451.134328358209,4.404773916218889,L2S_num_max,1386.2388059701493,4.359733598237148,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,859.9636363636364,22.307899940494778,L2S_num_sum,1201.0363636363636,4.832338012206715,L2S_num_max,1149.8909090909092,4.833084126440137,Adult_num,1.4411764705882353,0.12083471180420846,Food_cons_Ad,0.0002777707633645615,0.0
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1785.8651685393259,4.35782059754379,L2S_num_max,1730.629213483146,4.43427147792702,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1752.5121951219512,4.598130221776722,L2S_num_max,1688.7073170731708,4.538818079503858,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
17,m2,0.900099,s_fed,0.4,L2S_num_last_timepoint,49.41818181818182,17.942401126603425,L2S_num_sum,1638.2533333333333,4.509413310887392,L2S_num_max,1569.16,4.369552309720915,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
18,m2,0.8500989999999999,s_fed,0.4,L2S_num_last_timepoint,452.51724137931035,51.041708870213164,L2S_num_sum,1455.3620689655172,3.715510749626229,L2S_num_max,1387.3103448275863,3.872843302139011,Adult_num,1.2,0.20000000000000004,Food_cons_Ad,1.4141057044014041e-05,0.0
19,m2,0.800099,s_fed,0.4,L2S_num_last_timepoint,830.5892857142857,22.933936414650738,L2S_num_sum,1214.4464285714287,5.239827475774489,L2S_num_max,1163.5892857142858,4.619887612179015,Adult_num,1.606060606060606,0.14393939393939395,Food_cons_Ad,4.04030201257544e-06,0.0
20,m2,0.990099,s_fed,0.5,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1793.8695652173913,4.242224482485054,L2S_num_max,1737.9565217391305,4.09105374520704,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
21,m2,0.950099,s_fed,0.5,L2S_num_last_timepoint,2.0,1.0,L2S_num_sum,1763.0117647058823,4.260741710184923,L2S_num_max,1699.7176470588236,4.08222943169181,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
22,m2,0.900099,s_fed,0.5,L2S_num_last_timepoint,48.67213114754098,18.185950881376062,L2S_num_sum,1646.3424657534247,3.9233145358892485,L2S_num_max,1577.1780821917807,3.8212208111714268,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0
23,m2,0.8500989999999999,s_fed,0.5,L2S_num_last_timepoint,431.7164179104478,40.66873603203456,L2S_num_sum,1469.0298507462687,4.277938216225485,L2S_num_max,1403.5373134328358,4.253836874915859,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
24,m2,0.800099,s_fed,0.5,L2S_num_last_timepoint,898.25,21.03972763342931,L2S_num_sum,1218.0,4.666985533323836,L2S_num_max,1163.640625,4.381223871573698,Adult_num,1.9142857142857144,0.18503430784054947,Food_cons_Ad,1.717128355344562e-05,0.0
25,m2,0.990099,s_fed,0.6,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1818.632183908046,4.749290945615741,L2S_num_max,1762.3103448275863,4.60007991123445,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
