,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.04928989139515455
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.05263157894736842
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.05572755417956657
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.06666666666666668
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.0
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.05238095238095238
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.07177033492822968
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.05882352941176471
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.0
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.05882352941176471
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.05302471865939359
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.06559549841283588
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.0
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.0
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.07692307692307693
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.05042016806722689
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.056759545923632616
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.06666666666666668
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.07692307692307693
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.1111111111111111
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.047619047619047616
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.0
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.0
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.14285714285714285
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.10989010989010989
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.047619047619047616
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.0
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.07816627816627818
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.06666666666666668
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.0
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.05263157894736842
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.047619047619047616
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.0
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.08021390374331551
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.07692307692307693
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.050960735171261484
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.0
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.06726998491704375
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.11495911495911497
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.12698412698412698
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.07215686274509805
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.0
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.08309024309024308
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.07886710239651416
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.14285714285714285
