,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,4896.651685393258,15.05870450909493,L2S_num_sum,5017.4157303370785,15.22480343651376,L2S_num_max,4919.123595505618,15.031171392755326,Adult_num,1912.3483146067415,7.388861622641774,Food_cons_Ad,0.00011865549871201187,1.4207680156752014e-05
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,4990.6125,21.24374437893051,L2S_num_sum,5108.4125,21.455729323585384,L2S_num_max,5009.0375,20.972280105708066,Adult_num,738.3125,6.281769729426915,Food_cons_Ad,0.00015355672836544533,1.9779055320496127e-05
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,5101.75641025641,22.86922372764847,L2S_num_sum,5221.5,23.37509760717991,L2S_num_max,5110.948717948718,22.65974775478143,Adult_num,307.96153846153845,4.840081374816879,Food_cons_Ad,0.00017972869112991836,2.344490011526021e-05
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,5167.542857142857,27.277104860507702,L2S_num_sum,5283.442857142857,27.456682508534158,L2S_num_max,5169.6,27.166470931225923,Adult_num,180.2,4.885123400879649,Food_cons_Ad,0.0002071664856948057,2.7588518392029377e-05
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,5236.911764705882,27.978526628114675,L2S_num_sum,5350.441176470588,28.432207484738115,L2S_num_max,5237.058823529412,27.95938734673253,Adult_num,118.95588235294117,3.554877309854239,Food_cons_Ad,0.0002366101866114492,3.278093320659144e-05
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,4754.1648351648355,12.274558137430978,L2S_num_sum,4873.934065934066,12.507587950378749,L2S_num_max,4775.252747252747,11.98215597803467,Adult_num,1936.142857142857,6.755173867135555,Food_cons_Ad,0.0001171465589030802,1.4760084867622872e-05
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,4809.8625,17.52151248953372,L2S_num_sum,4927.175,17.563472370487013,L2S_num_max,4825.9625,17.212755093115383,Adult_num,743.2625,6.934817305461375,Food_cons_Ad,0.00013815307694250146,1.971842117830856e-05
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,4985.513888888889,24.256889967555708,L2S_num_sum,5099.708333333333,24.691725609521505,L2S_num_max,4996.583333333333,23.81953826112916,Adult_num,312.8888888888889,5.768436984212247,Food_cons_Ad,0.00014347280792572576,2.029159785598207e-05
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,5073.350649350649,29.2900254930126,L2S_num_sum,5190.454545454545,29.69184722003413,L2S_num_max,5078.467532467533,29.18359744235164,Adult_num,175.44155844155844,4.95117975496672,Food_cons_Ad,0.00018323031984303164,2.497949617181821e-05
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,5141.833333333333,28.660413521118397,L2S_num_sum,5256.533333333334,29.129173318680966,L2S_num_max,5142.3,28.668298797316233,Adult_num,105.05,3.546417385360393,Food_cons_Ad,0.00020093768675875188,3.081996806561849e-05
