,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.06945140180014664
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.058119538660019225
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.044611555885841925
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.03392460590380325
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.025864296671924712
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.07273352169332654
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.06144249154518462
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.04617630485580064
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.03705510972881951
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.026962699538144532
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.07482884930395102
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.06122354650490691
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.04809054732702651
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.03690265575473449
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.02584771520484848
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.07509945419635512
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.06358425799975109
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.049185179908403015
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.038120338697327005
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.027104848630215842
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.07516683180120828
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.06145745390685672
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.04663070528405189
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.03506239471467272
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.026044415653003708
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.07479033459026345
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.06097524711602279
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.048439494326964386
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.037818461075425
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.029402540412150128
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.07462664473156017
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.061117092520136085
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.04596306515862816
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.03747731924170253
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.02773650599823572
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.07346276301121711
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.061970170041361135
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.04736632395149066
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.036481117272836934
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.02849716361995104
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.06920159880228412
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.0627589065921081
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.0477830778600224
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.03809804566478666
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.03030859690735917
