,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.022623881090556654
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.01857148616952239
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.01426062072180937
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.011798746786744294
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.010761330727314035
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.025222223897669625
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.01922021156797846
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.01674239369527918
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.013056167338692233
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.012423472809523219
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.024934953385176137
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.019757599012046108
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.017678524982860294
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.013548314550821873
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.012294293469532508
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.02323157710394857
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.01996879377815584
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.01624854225354011
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.013777897388430112
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.014046285734818236
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.0249208152165515
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.019899328738320968
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.01577651325218496
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.014250478213138799
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.013613975981398107
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.02528006055378816
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.02079837135457134
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.017230651793593933
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.01617402932463084
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.013785371771205918
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.024612070101730284
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.020003535813567477
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.018266299502098658
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.01693663522613087
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.017032061122806082
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.02731873481866566
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.024181453416994795
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.02129562945781005
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.020781998397805937
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.02009300181053332
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.030057625074776363
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.025617743025899226
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.023418546206999492
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.024817946552824356
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.01991611619734961
