,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0588235294117647,0.05882352941176471,Adult_num,9.775,0.2928337109666184,Food_cons_Ad,0.004085515517284917,0.00048262942185880553
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.2857142857142858,0.18442777839082938,Adult_num,4.716049382716049,0.21747326208663734,Food_cons_Ad,0.0023944948421479872,0.0002916100277499734
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,2.6491228070175437,0.18135390992607064,Food_cons_Ad,0.0016468607695091875,0.0002321771706624155
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,2.0238095238095237,0.19424978602461843,Food_cons_Ad,0.0012733547751061739,0.000207844669860165
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.631578947368421,0.1569170510526168,Food_cons_Ad,0.0010367047664085617,0.00020640290395239423
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.1578947368421053,0.08594700851870798,Adult_num,8.806451612903226,0.3123071876482923,Food_cons_Ad,0.0038394164587458824,0.00042489992405734487
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,4.782051282051282,0.22173553012652583,Food_cons_Ad,0.0026265415238523257,0.00032203486224903754
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,2.7333333333333334,0.1972504024852741,Food_cons_Ad,0.0016721354333001097,0.0002340509751008076
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.6428571428571428,0.12203000607478298,Food_cons_Ad,0.0011404654283621988,0.00018366551699537732
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.3928571428571428,0.1295013402546089,Food_cons_Ad,0.000953246731383647,0.0001779474106302738
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,9.544444444444444,0.318062608615079,Food_cons_Ad,0.003935725528816612,0.0004389795422511634
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,4.35,0.22225826008770788,Food_cons_Ad,0.00227396676913945,0.0002805030042260595
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0,0.0,Adult_num,2.566666666666667,0.17363945154748095,Food_cons_Ad,0.0015466981553696536,0.00022666569036046717
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0833333333333333,0.08333333333333333,Adult_num,1.9038461538461537,0.12956481104023165,Food_cons_Ad,0.0012920759576778365,0.000183561419205617
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.4074074074074074,0.13353893612829587,Food_cons_Ad,0.0008186432390366635,0.00014431839372395215
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0,0.0,Adult_num,9.425287356321839,0.29367027496002013,Food_cons_Ad,0.003614363621956603,0.000416595217477282
