,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.0730269898112016
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.06246815749877554
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.05197544460982226
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.043407821526055955
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.03364838517742131
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.0743066953431989
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.06582979616941052
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.05610402644992975
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.045394319929830555
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.03570016838287407
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.07676203390494607
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.06691004240693307
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.05693681820848888
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.04610589297427096
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.03696172880025274
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.07600341703775979
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.06631383496417685
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.05724762798712954
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.0469568496792021
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.03800141794742301
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.07655278231264898
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.0667446435807991
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.05804002698788881
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.04778302985313198
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.04014861950617546
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.07669041470460682
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.06812656648328126
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.05917782151649036
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.04926477729864086
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.04206092880928298
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.07635435959278138
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.06794039538093903
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.05881280719093169
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.05328568689374708
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.04865007324228305
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.07723530733542619
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.07063252161891213
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.06040953732654121
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.05421991804735695
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.04341061679343602
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.07806835857922924
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.06799136980793145
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.06358911630627213
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.05355213976671901
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.0462124009305412
