,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1825.888888888889,4.1015950870714,L2S_num_sum,1906.0666666666666,4.143427326801377,L2S_num_max,1851.2777777777778,4.0654455027124685,Adult_num,1017.3777777777777,4.247745315942101,Food_cons_Ad,0.00011177046595344112,1.2499839073583641e-05
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1907.0506329113923,5.195118509137044,L2S_num_sum,1982.1012658227849,5.317556029006112,L2S_num_max,1921.73417721519,5.33237096338262,Adult_num,200.54430379746836,5.681980876056312,Food_cons_Ad,8.19823307108662e-05,1.1587300006055522e-05
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1925.7051282051282,3.934195186611018,L2S_num_sum,1988.7820512820513,4.216645868015977,L2S_num_max,1930.2692307692307,4.014445821080493,Adult_num,123.07692307692308,9.397532094515856,Food_cons_Ad,0.00036668398857551444,0.0001261730222447167
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1857.972602739726,10.521015654240834,L2S_num_sum,1906.1780821917807,11.110116169669837,L2S_num_max,1858.2876712328766,10.533133911109568,Adult_num,149.4794520547945,11.533653187771842,Food_cons_Ad,0.0014638484637685572,0.00041175396874570345
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1469.05,45.680383265185476,L2S_num_sum,1498.1833333333334,46.91843801535146,L2S_num_max,1469.05,45.680383265185476,Adult_num,294.25,16.22365966014948,Food_cons_Ad,0.011874413945775781,0.0023101523792449096
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1915.1505376344087,4.6833322827681085,L2S_num_sum,2000.0645161290322,4.647655620887051,L2S_num_max,1942.3548387096773,4.663066596112263,Adult_num,1010.9784946236559,4.528853487044117,Food_cons_Ad,0.00011082591864602094,1.2626920008023276e-05
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,2009.2941176470588,4.344571406769452,L2S_num_sum,2088.494117647059,4.306422261845002,L2S_num_max,2026.6117647058823,4.394645778393088,Adult_num,206.41176470588235,7.7101427271672796,Food_cons_Ad,9.113257686600308e-05,1.5706081593750855e-05
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,2024.0,5.476258333160571,L2S_num_sum,2092.1688311688313,5.903339723389462,L2S_num_max,2028.3116883116884,5.686028124922471,Adult_num,120.49350649350649,8.553830657998121,Food_cons_Ad,0.00036628031278671414,0.00012560766525054637
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1955.072463768116,10.612052189831218,L2S_num_sum,2006.0289855072465,11.295816451927703,L2S_num_max,1955.1884057971015,10.621185446589449,Adult_num,164.63768115942028,12.078140919486273,Food_cons_Ad,0.0016943570943692748,0.00039373318471205376
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1587.7758620689656,46.13995413823765,L2S_num_sum,1619.2586206896551,47.41279485282529,L2S_num_max,1587.7758620689656,46.13995413823765,Adult_num,284.7068965517241,16.78597361597926,Food_cons_Ad,0.010406860154175836,0.002100971255393485
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,1948.8372093023256,3.728833945033635,L2S_num_sum,2034.9418604651162,3.7586327319915185,L2S_num_max,1975.1860465116279,3.8622488585881394,Adult_num,1028.639534883721,5.605032739279834,Food_cons_Ad,0.00012389868003098348,1.5287491193688616e-05
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,2039.7906976744187,4.694121721443064,L2S_num_sum,2118.6976744186045,4.776683844960189,L2S_num_max,2056.6279069767443,4.757456427383031,Adult_num,203.7906976744186,6.264618827220143,Food_cons_Ad,8.989671977980354e-05,1.5498662693050422e-05
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,2055.84,5.31532003053692,L2S_num_sum,2123.72,5.471121893613297,L2S_num_max,2061.1066666666666,5.399184901223293,Adult_num,119.36,7.414221542487186,Food_cons_Ad,0.00025339245459949484,5.261478650199378e-05
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,1951.8333333333333,29.534660415928162,L2S_num_sum,2001.7083333333333,30.679086568858768,L2S_num_max,1952.0277777777778,29.54357390508766,Adult_num,167.40277777777777,15.770478895270076,Food_cons_Ad,0.002983300085014688,0.0011335730614320898
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1525.1884057971015,44.68945739720086,L2S_num_sum,1554.8260869565217,45.94006230982473,L2S_num_max,1525.1884057971015,44.68945739720086,Adult_num,319.42028985507244,15.316070462304182,Food_cons_Ad,0.013081443924889908,0.0022573965429024323
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,1967.4468085106382,3.97140364416544,L2S_num_sum,2054.0,4.137341323615233,L2S_num_max,1994.8829787234042,4.121714220229434,Adult_num,1010.7553191489362,5.5125672476281995,Food_cons_Ad,0.00010572481782374935,1.2397352368433445e-05
