,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.098264602022614
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.10687052457100554
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.11663985876369268
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.12490556124315708
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.13198343258559767
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.1038843714754358
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.11312979306679768
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.12276522638695343
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.13247128873304764
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.1387685475680002
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.10556117170049845
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.11495198583494588
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.12491916168797004
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.13454034852142868
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.14052497012693344
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.1069913670303647
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.11559823550840048
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.126025005422002
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.13547441031863838
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.1419491233828332
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.10709608266412057
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.11624134983570895
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.12610478817969842
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.1356834510627338
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.14221786028379316
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.1084825523082432
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.1171766493517133
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.12691259392667273
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.13672168134259952
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.14354437086531477
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.10860803109419248
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.11813253582456858
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.12800798238061778
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.13733795058208279
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.14329518956523407
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.1100978530867708
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.11935982738283098
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.12905096560317872
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.13811755258973424
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.14460249718159485
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.11120852442631264
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.12010233644672129
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.13024754296553254
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.13932298471199495
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.14580029919680906
