,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,147.7741935483871,6.945778262974907,L2S_num_sum,1032.741935483871,2.850075793789139,L2S_num_max,994.9569892473119,2.945147353800737,Adult_num,5.602150537634409,0.29135100862338154,Food_cons_Ad,2.171662331759299e-05,2.142455178354041e-05
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,364.87179487179486,17.330304292709588,L2S_num_sum,1192.2820512820513,3.7024664150281494,L2S_num_max,1150.3974358974358,3.5638572973246587,Adult_num,1.44,0.11661903789690602,Food_cons_Ad,7.0705285220070204e-06,0.0
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,659.6197183098592,19.27026218051817,L2S_num_sum,1279.887323943662,3.6417846298278205,L2S_num_max,1233.2112676056338,3.5065282889247134,Adult_num,1.1904761904761905,0.11167656571008167,Food_cons_Ad,1.818135905658948e-05,0.0
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,946.5774647887324,14.18516046625674,L2S_num_sum,1305.5633802816901,4.285473680439644,L2S_num_max,1261.1549295774648,4.41898446445699,Adult_num,1.2105263157894737,0.1228070175438596,Food_cons_Ad,7.0705285220070204e-06,7.692499287415233e-06
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1066.1311475409836,9.145947037813505,L2S_num_sum,1298.016393442623,4.419374371769968,L2S_num_max,1252.5245901639344,4.45411374645128,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,183.27586206896552,8.09657838660763,L2S_num_sum,1096.9195402298851,3.441504087624899,L2S_num_max,1057.2068965517242,3.4417339709542096,Adult_num,6.057471264367816,0.3344100447220166,Food_cons_Ad,8.248949942341522e-06,3.5581447131711495e-06
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,413.85227272727275,14.024586000300111,L2S_num_sum,1271.659090909091,3.8574009244926812,L2S_num_max,1229.125,3.5803514542639743,Adult_num,1.3448275862068966,0.14277218469152156,Food_cons_Ad,1.01007550314386e-05,0.0
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,745.7746478873239,20.906231173612966,L2S_num_sum,1370.3521126760563,4.145351986887345,L2S_num_max,1322.9859154929577,4.19847116745636,Adult_num,1.1904761904761905,0.11167656571008167,Food_cons_Ad,3.333249160374738e-05,3.95092914925184e-05
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,979.3484848484849,18.266347117790648,L2S_num_sum,1402.8030303030303,4.612045630053129,L2S_num_max,1356.121212121212,4.404940813125635,Adult_num,1.1333333333333333,0.09085135251589958,Food_cons_Ad,0.0,0.0
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1131.4262295081967,10.497370449200886,L2S_num_sum,1376.5081967213114,4.6858479500915164,L2S_num_max,1324.9344262295083,4.7793310031226435,Adult_num,1.375,0.25617376914899,Food_cons_Ad,0.0,0.0
