,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.004443070157156341
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.0039061906281823294
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.006166496512940306
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.0
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.0
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.004496424784997867
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.004103000159803834
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.005778709942604223
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.006608184874599065
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.015384615384615384
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.004342943585202493
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.0059087811769348575
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.0058154763736253945
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.008259130389109954
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.0
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.00459043032925955
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.005127293648059293
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.006428127208368928
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.006216662789028351
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.014707755781785823
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.004904580050405367
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.005356874531665802
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.007985699206158044
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.006496716270756262
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.008812419911803667
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.006528817668515816
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.006913078917555396
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.007826272006051129
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.009169373525564501
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.012158762357871904
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.009104207028292075
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.008175355876335135
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.010290176244805422
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.010149710099077976
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.014468237404883169
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.009632558728019849
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.011690982736382966
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.014748400280762828
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.017347063545821242
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.016790435910442304
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.0108537073128171
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.01227580815451212
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.012582823374832111
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.020450004181007987
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.01903524038477174
