,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.0005097628088951271
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.0004936662755184257
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.0006539172034007835
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.0006016403297510781
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.0006717428980010029
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.0005458800022810367
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.000488480876057246
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.0005279110035187177
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.0005877810786463535
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.0006354183975093897
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.0005351709737986872
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.0006182010201026674
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.0005845300394830695
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.0005858093516145747
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.0008085268346652973
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.0005071929752486117
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.0005314981903223903
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.0005760216406265918
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.0007392516687934381
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.0006808917025369249
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.0005351168967050076
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.0005449614818183604
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.000576887557482231
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.0006015768662106332
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.0007046547304861946
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.000491353242773072
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.0005549881343749069
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.0006065454605781185
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.0005884053606863187
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.0008043013927496657
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.000501936243065807
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.0006027070446911951
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.0006368595305845736
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.0006057296611286707
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.0008164607171129415
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.0005494388324062717
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.0006860865489912549
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.0006180040597599062
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.0007036548355498067
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.0010404559046986036
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.0009261795558410578
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.0011641583214376532
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.001116967570554303
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.0007834352945870791
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.001127042724607043
