,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1323.875,4.080998535975345,L2S_num_sum,1374.35,4.233160981906332,L2S_num_max,1327.4125,4.10948631449082,Adult_num,1040.0125,5.77890351799138,Food_cons_Ad,0.0008941945910456807,0.00010814304665610012
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1481.235294117647,3.869642209404134,L2S_num_sum,1533.3882352941177,4.084612585904806,L2S_num_max,1482.8,3.9001472356032605,Adult_num,291.7647058823529,6.570809036110106,Food_cons_Ad,0.0006001987472092951,7.901308019454974e-05
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1559.1911764705883,7.9480937177290425,L2S_num_sum,1603.3235294117646,8.449001093647247,L2S_num_max,1559.1911764705883,7.9480937177290425,Adult_num,211.44117647058823,11.23387308353419,Food_cons_Ad,0.0015086963044605233,0.00030513703931187925
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1527.1791044776119,16.59308849722037,L2S_num_sum,1565.089552238806,17.457666459220565,L2S_num_max,1527.1791044776119,16.59308849722037,Adult_num,219.4179104477612,14.008980599179635,Food_cons_Ad,0.0037825066229670817,0.0008528273356302012
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1347.6268656716418,27.494350686710288,L2S_num_sum,1374.5223880597016,28.39237224223816,L2S_num_max,1347.6268656716418,27.494350686710288,Adult_num,284.8955223880597,13.455844910190853,Food_cons_Ad,0.009579254556740803,0.0016180973981778078
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1407.2555555555555,3.2737583006407203,L2S_num_sum,1459.9888888888888,3.3463227976061853,L2S_num_max,1410.7888888888888,3.3775529279915646,Adult_num,1041.3444444444444,6.686938488190745,Food_cons_Ad,0.0009706376662766652,0.00012777774382968478
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1566.0243902439024,4.695932738528153,L2S_num_sum,1618.8292682926829,5.0021616789970995,L2S_num_max,1566.9634146341464,4.7683920264489155,Adult_num,340.5975609756098,9.855426771233649,Food_cons_Ad,0.0009595963639745486,0.00017159261674541673
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,1666.7837837837837,7.940687901582627,L2S_num_sum,1716.8108108108108,8.409913661156486,L2S_num_max,1666.7837837837837,7.940687901582627,Adult_num,198.01351351351352,10.918371917669752,Food_cons_Ad,0.001247306749693053,0.00030424634858566856
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1598.25,20.49035535803156,L2S_num_sum,1636.96875,21.35196090524259,L2S_num_max,1598.25,20.49035535803156,Adult_num,240.1875,14.626040781715766,Food_cons_Ad,0.004595591020428777,0.0009825295253982828
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1362.4098360655737,37.45995586582422,L2S_num_sum,1390.7377049180327,38.776773945457705,L2S_num_max,1362.4098360655737,37.45995586582422,Adult_num,302.1967213114754,15.737304184333338,Food_cons_Ad,0.01149980895498168,0.0020650782920019132
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,1420.6813186813188,4.385787878643242,L2S_num_sum,1474.989010989011,4.468325494430154,L2S_num_max,1424.8461538461538,4.466998048964895,Adult_num,1025.9120879120878,6.736731604496742,Food_cons_Ad,0.0009353632151036257,0.00012979225369047848
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,1588.360465116279,4.846026276008987,L2S_num_sum,1641.7093023255813,4.948624324283656,L2S_num_max,1589.046511627907,4.832428843748139,Adult_num,331.8488372093023,9.335581543076524,Food_cons_Ad,0.00077977828842706,0.0001246059626898402
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,1658.7435897435898,9.675322566494252,L2S_num_sum,1706.474358974359,10.260375211796006,L2S_num_max,1658.820512820513,9.674432965814473,Adult_num,228.6153846153846,11.440186437467686,Food_cons_Ad,0.0020421007239521923,0.000511459846065206
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,1632.855072463768,13.397240420290995,L2S_num_sum,1673.5942028985507,14.263345239059513,L2S_num_max,1632.855072463768,13.397240420290995,Adult_num,224.20289855072463,12.440473433337901,Food_cons_Ad,0.0034535359779013044,0.0006086401847511115
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1428.2380952380952,30.842818022959513,L2S_num_sum,1458.6666666666667,31.87920428986009,L2S_num_max,1428.2380952380952,30.842818022959513,Adult_num,282.07936507936506,12.363319332576236,Food_cons_Ad,0.00965771667622631,0.0017150427612773783
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,1431.236559139785,3.3267020709523316,L2S_num_sum,1484.7956989247311,3.4763798972818782,L2S_num_max,1434.215053763441,3.3495462233526876,Adult_num,1036.8602150537633,6.5452106868647615,Food_cons_Ad,0.0009865396578179165,0.00012177367653983383
