,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.14840517502057843
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.14857831553939296
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.14827753967997626
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.14822839104071575
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.14809602806184483
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.15843991363411114
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.15730483587240005
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.15785475054935763
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.15697468687462154
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.15620533512360735
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.16085322941146638
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.1596729411554911
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.15894551240592095
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.1585673477776258
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.15800879177332608
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.16205963523009112
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.16111384794233383
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.16102429624956374
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.16087958954769657
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.15833032789441867
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.16324344684147557
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.16201341043228307
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.1608254884062344
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.15971740318904248
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.1600229177539627
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.16429163122093907
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.16351014844641032
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.1613176628228968
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.1616115370937313
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.16076584959187873
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.16531877410261686
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.164369564406845
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.16322409497030718
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.16184832543666705
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.16173633644436722
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.1661669718973638
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.16388583336210572
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.16336210778114854
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.16222727893858702
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.16181153057840605
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.1678461131450184
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.16507955926799026
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.16480030767784046
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.16320173705860155
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.16262184380131958
