,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1.0869565217391304,0.060073850409370216,L2S_num_sum,1.0869565217391304,0.060073850409370216,L2S_num_max,1.0833333333333333,0.05763033956734372,Adult_num,15.733333333333333,0.32606303626825656,Food_cons_Ad,0.0020005892107101673,0.0002189319454487946
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1.1666666666666667,0.1123666437438737,L2S_num_sum,1.1666666666666667,0.1123666437438737,L2S_num_max,1.1666666666666667,0.1123666437438737,Adult_num,13.0,0.3413981071691221,Food_cons_Ad,0.0012576731971179964,0.00014591451052675756
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1.1428571428571428,0.14285714285714285,L2S_num_sum,1.1428571428571428,0.14285714285714285,L2S_num_max,1.1428571428571428,0.14285714285714285,Adult_num,10.306818181818182,0.33723859978247306,Food_cons_Ad,0.0009763255136654798,0.00012667768040081342
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1.125,0.125,L2S_num_sum,1.125,0.125,L2S_num_max,1.125,0.125,Adult_num,8.513157894736842,0.3192608904310361,Food_cons_Ad,0.0007951009432294686,0.00012178869334684884
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.1428571428571428,0.14285714285714285,L2S_num_max,1.0,0.0,Adult_num,6.533333333333333,0.3662812560980129,Food_cons_Ad,0.0005809237466307058,0.00012236226631398312
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1.2083333333333333,0.13431477557289845,L2S_num_sum,1.2083333333333333,0.13431477557289845,L2S_num_max,1.1923076923076923,0.12427303401079626,Adult_num,16.136363636363637,0.27721833407928,Food_cons_Ad,0.0020277380506920164,0.00022383137858750213
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1.0909090909090908,0.09090909090909091,L2S_num_sum,1.0909090909090908,0.09090909090909091,L2S_num_max,1.0769230769230769,0.07692307692307693,Adult_num,12.890243902439025,0.41319915704027527,Food_cons_Ad,0.0013337485865957369,0.00015980330253751942
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,1.0625,0.0625,L2S_num_sum,1.0625,0.0625,L2S_num_max,1.0625,0.0625,Adult_num,9.972972972972974,0.39712637396028455,Food_cons_Ad,0.0010009071254999389,0.00013737147090705595
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1.1,0.09999999999999999,L2S_num_sum,1.1,0.09999999999999999,L2S_num_max,1.0769230769230769,0.07692307692307693,Adult_num,7.735294117647059,0.3751602800922849,Food_cons_Ad,0.0007831093884906195,0.0001280864292845726
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0,0.0,Adult_num,6.9393939393939394,0.36634577262241746,Food_cons_Ad,0.0006475288678991545,0.00011088107878970761
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,1.1153846153846154,0.06389710663783135,L2S_num_sum,1.1153846153846154,0.06389710663783135,L2S_num_max,1.1111111111111112,0.06163335513613659,Adult_num,16.17391304347826,0.3471984303483427,Food_cons_Ad,0.0019787708479034895,0.00021521586268459053
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0,0.0,Adult_num,12.414634146341463,0.41752890713138974,Food_cons_Ad,0.001307724034422855,0.0001635155476810437
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,1.25,0.1305582419667734,L2S_num_sum,1.25,0.1305582419667734,L2S_num_max,1.2,0.10690449676496976,Adult_num,10.0,0.3789873827904606,Food_cons_Ad,0.0008802348884670039,0.00011409813081070112
