,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.15218644342238988
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.15048487240754368
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.1467016317423459
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.13944934413676544
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.11790590598436317
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.16198759902544616
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.15992675346989632
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.15590230757586618
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.14565246797570652
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.12259307126327394
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.16467793422772636
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.16117260302294725
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.15758727787988724
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.146746645329693
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.1221974626111166
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.16654439138081006
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.16432073984913684
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.15750415178784472
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.14647310625755494
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.12020477851431961
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.1662219311650497
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.1642399605164046
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.15954615899426608
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.1478237547507475
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.11765291332307835
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.16785556448025218
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.16444183637522639
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.15801450947947113
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.1427088180124307
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.1186941208494354
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.16910310695676078
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.16460692425628154
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.1559490639210463
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.140116632064078
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.11526226667324141
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.16946539766859275
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.1641086055677365
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.1563781227754523
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.14287259904250574
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.11072746213921732
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.16948630466018805
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.16505331412461824
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.15174737698141708
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.13269214813244293
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.10336308141848644
