,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,2.475609756097561,0.15925300798689773,Adult_num,53.94565217391305,1.2121344721620728,Food_cons_Ad,0.021598697002600944,0.0023104055392527143
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,2.2033898305084745,0.15054869645420868,Adult_num,31.78082191780822,0.9781180045372981,Food_cons_Ad,0.015505599865507754,0.0018810645502124884
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.7719298245614035,0.13010874538764317,Adult_num,16.871794871794872,0.6913573724468082,Food_cons_Ad,0.010672457766218025,0.0012845738687741405
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.3829787234042554,0.08895108515260404,Adult_num,10.041666666666666,0.5703407199001426,Food_cons_Ad,0.00761105920445331,0.0009844765433097294
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.3333333333333333,0.12598815766974242,Adult_num,5.018518518518518,0.43796966663161335,Food_cons_Ad,0.0042746395293048155,0.0006571961182924642
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1.2857142857142858,0.22060285604268937,L2S_num_sum,1.2666666666666666,0.2062515031210259,L2S_num_max,2.86046511627907,0.19721923935421906,Adult_num,57.111111111111114,1.1686120158361648,Food_cons_Ad,0.022388929572485543,0.002413971569547638
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.9710144927536233,0.14447927265559657,Adult_num,30.67058823529412,0.9201126826763565,Food_cons_Ad,0.014795692919222184,0.0016663076434330546
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,1.2,0.19999999999999998,L2S_num_sum,1.1666666666666667,0.16666666666666669,L2S_num_max,1.7413793103448276,0.12435032579555431,Adult_num,17.575342465753426,0.7285538019919652,Food_cons_Ad,0.01047482888387003,0.0012976989843541057
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.3571428571428572,0.09531065760689844,Adult_num,9.735294117647058,0.4839920543044703,Food_cons_Ad,0.007268265655798948,0.0009509816453377829
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1.5,0.5,L2S_num_sum,1.5,0.5,L2S_num_max,1.35,0.09163752450517146,Adult_num,5.569444444444445,0.3694232641274708,Food_cons_Ad,0.004862185229167798,0.0006369840798610052
