,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.11371162081101228
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.1343650949789057
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.20375106564364878
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.19723214521976135
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.1744729344729345
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.082376145724562
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.07742584213172449
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.08099547511312219
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.1425698484522014
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.08949220713926596
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.07921345176247138
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.08190502308149367
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.15507644988613845
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.2075989370107017
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.10331825037707391
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.07182838947544831
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.0877526395173454
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.09673794102859848
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.11753980224568458
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.16226166995397764
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.11282855706385114
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.10339366515837105
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.09136361097145411
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.10603099656808097
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.14624552686836426
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.1121401039048098
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.10562468577174462
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.09845632460011546
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.10373722138428022
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.16724987430869784
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.15664208703424384
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.25793344878312185
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.3055922960900336
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.23975465057817996
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.24525343937108646
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.24764667208106117
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.40505885820287435
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.22830568124685766
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.4413909837439248
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.31262971986953875
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.3638608500599449
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.35225965029886575
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.4800565903165081
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.31776772247360474
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.3962260517955134
