time,m2,m2_v,sfed,sfed_v,L2S,L2S_n,L2S_sem,L2Ssum,L2Ssum_n,L2Ssum_sem,L2Smax,L2Smax_n,L2Smax_sem,Ad,Ad_n,Ad_sem,Food_cond_ad,Food_cond_ad_n,Food_cond_ad_sem,Food_cond_ad_n_cumul
100.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,0.0,0.0,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0,0.0
101.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,0.0,0.0,Adult_num,0.0,0.0,Food_cons_Ad,0.0,0.0,0.0
102.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0,0.0
103.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.0,0.0,Food_cons_Ad,0.0006671134732895055,8.73154326638835e-05,0.0006671134732895055
104.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,0.0,0.0,L2S_num_sum,0.0,0.0,L2S_num_max,1.0,0.0,Adult_num,1.0,0.0,Food_cons_Ad,0.0006185990974253898,9.727162315369528e-05,0.001285712570714895
105.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.0476190476190477,0.04761904761904763,L2S_num_sum,1.0454545454545454,0.04545454545454546,L2S_num_max,1.0416666666666667,0.04166666666666667,Adult_num,2.4237288135593222,0.10866435765463092,Food_cons_Ad,0.0005434711244665538,0.0001283905247391798,0.001829183695181449
106.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.0769230769230769,0.07692307692307693,L2S_num_sum,1.0714285714285714,0.07142857142857142,L2S_num_max,1.04,0.04,Adult_num,1.7049180327868851,0.0915687871722554,Food_cons_Ad,0.0013873986233013294,0.0001941709314471683,0.0032165823184827783
107.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.1111111111111112,0.11111111111111112,L2S_num_sum,1.1,0.1,L2S_num_max,1.0384615384615383,0.038461538461538464,Adult_num,1.431818181818182,0.08223700648394912,Food_cons_Ad,0.000965267891479806,0.00013510362214784564,0.004181850209962585
108.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.6530612244897958,0.11863387773194073,L2S_num_sum,1.64,0.11696851137404984,L2S_num_max,1.5517241379310345,0.1048503493609016,Adult_num,3.6379310344827593,0.23294619494878765,Food_cons_Ad,0.0007593603336135089,0.00012795682053309192,0.0049412105435760936
109.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.5227272727272727,0.1237565483506141,L2S_num_sum,1.5111111111111108,0.12153156559753557,L2S_num_max,1.65,0.1135582679772314,Adult_num,3.25,0.2173609042856245,Food_cons_Ad,0.0019696298160356454,0.000294437703533712,0.006910840359611739
110.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.3076923076923077,0.1111457089980188,L2S_num_sum,1.358974358974359,0.11315127566129332,L2S_num_max,1.6721311475409837,0.11385282292112567,Adult_num,2.207547169811321,0.15558889153274189,Food_cons_Ad,0.0017777671253807578,0.00026417155339927584,0.008688607484992497
111.0,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,2.981818181818182,0.2627117188084029,L2S_num_sum,3.036363636363636,0.25945246200961897,L2S_num_max,2.815384615384616,0.2298539541462936,Adult_num,4.576271186440677,0.3437709792380416,Food_cons_Ad,0.0010853547151706193,0.00017103120629488028,0.009773962200163116
