,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,86.50537634408602,2.6000604002727283,L2S_num_sum,87.3225806451613,2.626916864639352,L2S_num_max,87.3010752688172,2.5210560200723986,Adult_num,497.6774193548387,7.633909142213232,Food_cons_Ad,0.075553484719757,0.007909851642964478
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,51.294871794871796,2.683313155155586,L2S_num_sum,51.91025641025641,2.7106667540589355,L2S_num_max,54.41025641025641,2.4594233475775082,Adult_num,323.53846153846155,8.750409196610331,Food_cons_Ad,0.06363650490566478,0.007349302207083042
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,26.281690140845072,1.722286522221075,L2S_num_sum,26.619718309859156,1.7396276339209629,L2S_num_max,31.718309859154928,1.648385967308609,Adult_num,200.38028169014083,6.803844522074014,Food_cons_Ad,0.04956326682602623,0.006043397089718488
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,12.414285714285715,1.1633628803445217,L2S_num_sum,12.471428571428572,1.170500313932339,L2S_num_max,17.746478873239436,1.1966953675686318,Adult_num,113.87323943661971,5.092422649548614,Food_cons_Ad,0.03684697107165099,0.004563907452432233
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,6.836363636363636,0.7034133404461421,L2S_num_sum,6.9818181818181815,0.7346594570999111,L2S_num_max,11.737704918032787,0.9637987339904911,Adult_num,70.95081967213115,3.844265207917151,Food_cons_Ad,0.027789081332190234,0.003762929120737332
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,89.01149425287356,2.801720471008368,L2S_num_sum,90.04597701149426,2.8469799530803956,L2S_num_max,91.0,2.6350707710529577,Adult_num,481.2528735632184,7.7524037780953625,Food_cons_Ad,0.0710365087146586,0.00769454119198461
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,52.13636363636363,2.2522009331789605,L2S_num_sum,52.70454545454545,2.2579916758667338,L2S_num_max,57.85227272727273,2.1010608215726556,Adult_num,319.625,6.5388141122664845,Food_cons_Ad,0.06112887415607044,0.0066126831983474785
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,25.929577464788732,1.8628339916232122,L2S_num_sum,26.450704225352112,1.896707804574375,L2S_num_max,33.15492957746479,1.8884002456727007,Adult_num,195.59154929577466,7.074810858106624,Food_cons_Ad,0.048318441240102414,0.005878992361116905
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,17.61904761904762,1.5515429400577665,L2S_num_sum,17.80952380952381,1.5717776459095036,L2S_num_max,23.893939393939394,1.704803140325251,Adult_num,128.43939393939394,5.985184847884547,Food_cons_Ad,0.03916829464820677,0.0050211229151174396
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,8.166666666666666,0.8897074323417901,L2S_num_sum,8.10909090909091,0.8976860366440346,L2S_num_max,12.4,1.0496703814076684,Adult_num,72.0,4.550025520855588,Food_cons_Ad,0.027186910746168438,0.0037956366463997716
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,93.8695652173913,2.938419469756609,L2S_num_sum,94.83695652173913,2.976989198098972,L2S_num_max,96.27173913043478,2.774065239052299,Adult_num,482.7391304347826,7.470372593800768,Food_cons_Ad,0.07070649291904135,0.007447936463832357
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,54.3448275862069,2.671932163789489,L2S_num_sum,55.12643678160919,2.7081018660877647,L2S_num_max,60.39080459770115,2.4811158642958815,Adult_num,321.8965517241379,7.8389809044687135,Food_cons_Ad,0.06116616699856935,0.006682570792312011
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,26.736842105263158,1.8727377858110383,L2S_num_sum,27.105263157894736,1.8837792312421038,L2S_num_max,34.53947368421053,1.9618681384837728,Adult_num,193.72368421052633,6.14010682472392,Food_cons_Ad,0.04753411330654861,0.005587039258788279
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,16.5,1.2707453240777618,L2S_num_sum,16.779411764705884,1.2821537227151079,L2S_num_max,22.159420289855074,1.3841483524985867,Adult_num,127.6376811594203,5.123619769832611,Food_cons_Ad,0.037768377244170016,0.004790486745529937
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,7.888888888888889,0.8047147350449781,L2S_num_sum,8.074074074074074,0.814719516693811,L2S_num_max,12.098360655737705,1.062450234908563,Adult_num,73.24590163934427,4.378203323001762,Food_cons_Ad,0.026397727164531776,0.0036167735325406533
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,92.60240963855422,3.0946922492002504,L2S_num_sum,93.59036144578313,3.116507202790027,L2S_num_max,94.37349397590361,2.9510011073396236,Adult_num,497.12048192771084,9.547003868503733,Food_cons_Ad,0.07228478774571531,0.008034750798053835
