,a,b,c,d,e,f
0,m2,0.990099,s_fed,0.1,effectiveness_dauer_prod,0.15023989388730488
1,m2,0.950099,s_fed,0.1,effectiveness_dauer_prod,0.14581491434613217
2,m2,0.900099,s_fed,0.1,effectiveness_dauer_prod,0.13362988709697957
3,m2,0.8500989999999999,s_fed,0.1,effectiveness_dauer_prod,0.11073850769069445
4,m2,0.800099,s_fed,0.1,effectiveness_dauer_prod,0.08760714260701309
5,m2,0.990099,s_fed,0.2,effectiveness_dauer_prod,0.16064762854782264
6,m2,0.950099,s_fed,0.2,effectiveness_dauer_prod,0.1555359318340148
7,m2,0.900099,s_fed,0.2,effectiveness_dauer_prod,0.14071252482394256
8,m2,0.8500989999999999,s_fed,0.2,effectiveness_dauer_prod,0.12142057295043068
9,m2,0.800099,s_fed,0.2,effectiveness_dauer_prod,0.09161353283162832
10,m2,0.990099,s_fed,0.3,effectiveness_dauer_prod,0.16291501342784726
11,m2,0.950099,s_fed,0.3,effectiveness_dauer_prod,0.15678715189219378
12,m2,0.900099,s_fed,0.3,effectiveness_dauer_prod,0.142526723926945
13,m2,0.8500989999999999,s_fed,0.3,effectiveness_dauer_prod,0.1226888486686121
14,m2,0.800099,s_fed,0.3,effectiveness_dauer_prod,0.09388140174701076
15,m2,0.990099,s_fed,0.4,effectiveness_dauer_prod,0.16573721110703604
16,m2,0.950099,s_fed,0.4,effectiveness_dauer_prod,0.1589080497987336
17,m2,0.900099,s_fed,0.4,effectiveness_dauer_prod,0.14259736226091999
18,m2,0.8500989999999999,s_fed,0.4,effectiveness_dauer_prod,0.12121151783494442
19,m2,0.800099,s_fed,0.4,effectiveness_dauer_prod,0.08881925395697843
20,m2,0.990099,s_fed,0.5,effectiveness_dauer_prod,0.16566702644801143
21,m2,0.950099,s_fed,0.5,effectiveness_dauer_prod,0.15849906816991538
22,m2,0.900099,s_fed,0.5,effectiveness_dauer_prod,0.14064604920024898
23,m2,0.8500989999999999,s_fed,0.5,effectiveness_dauer_prod,0.11767174979686316
24,m2,0.800099,s_fed,0.5,effectiveness_dauer_prod,0.09098701857218723
25,m2,0.990099,s_fed,0.6,effectiveness_dauer_prod,0.16537460278305022
26,m2,0.950099,s_fed,0.6,effectiveness_dauer_prod,0.15860119324580357
27,m2,0.900099,s_fed,0.6,effectiveness_dauer_prod,0.13851062470774542
28,m2,0.8500989999999999,s_fed,0.6,effectiveness_dauer_prod,0.12009131368624153
29,m2,0.800099,s_fed,0.6,effectiveness_dauer_prod,0.08766332773884762
30,m2,0.990099,s_fed,0.7,effectiveness_dauer_prod,0.1636277964415487
31,m2,0.950099,s_fed,0.7,effectiveness_dauer_prod,0.15559207304045716
32,m2,0.900099,s_fed,0.7,effectiveness_dauer_prod,0.13888905523636613
33,m2,0.8500989999999999,s_fed,0.7,effectiveness_dauer_prod,0.11185459301216699
34,m2,0.800099,s_fed,0.7,effectiveness_dauer_prod,0.08395111498267889
35,m2,0.990099,s_fed,0.8,effectiveness_dauer_prod,0.1641843716865949
36,m2,0.950099,s_fed,0.8,effectiveness_dauer_prod,0.15410690215045017
37,m2,0.900099,s_fed,0.8,effectiveness_dauer_prod,0.1357967630206255
38,m2,0.8500989999999999,s_fed,0.8,effectiveness_dauer_prod,0.10713537605028692
39,m2,0.800099,s_fed,0.8,effectiveness_dauer_prod,0.08223163433711678
40,m2,0.990099,s_fed,0.9,effectiveness_dauer_prod,0.16561255129945282
41,m2,0.950099,s_fed,0.9,effectiveness_dauer_prod,0.1530320622306999
42,m2,0.900099,s_fed,0.9,effectiveness_dauer_prod,0.13621973355091205
43,m2,0.8500989999999999,s_fed,0.9,effectiveness_dauer_prod,0.10482188596378977
44,m2,0.800099,s_fed,0.9,effectiveness_dauer_prod,0.07612918238923835
