,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,5.280487804878049,0.8340600968637321,L2S_num_sum,1055.5454545454545,3.4345237316166406,L2S_num_max,1017.4772727272727,3.335669659530895,Adult_num,2.140625,0.16795216672475435,Food_cons_Ad,6.06045301886316e-06,0.0
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,17.558139534883722,1.6735329775230385,L2S_num_sum,1190.0,3.60524773316762,L2S_num_max,1148.0348837209303,3.473347718061922,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,73.07407407407408,9.010740809246089,L2S_num_sum,1286.358024691358,3.6848584341358372,L2S_num_max,1243.0740740740741,3.4554384482558067,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,241.6184210526316,19.17115859282689,L2S_num_sum,1315.9342105263158,4.107132671483042,L2S_num_max,1271.8552631578948,4.0724880944919155,Adult_num,1.2,0.20000000000000004,Food_cons_Ad,1.212090603772632e-05,0.0
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,540.4411764705883,26.694795525427782,L2S_num_sum,1296.985294117647,4.62469858292468,L2S_num_max,1251.6470588235295,4.609118186716747,Adult_num,1.0,0.0,Food_cons_Ad,2.626196308174036e-05,0.0
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,10.30952380952381,3.656311050281063,L2S_num_sum,1117.7954545454545,3.2763743393616123,L2S_num_max,1077.9772727272727,3.346108380464672,Adult_num,2.5217391304347827,0.23685267205065164,Food_cons_Ad,6.56549077043509e-06,7.456787201729731e-06
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,32.6,6.507021524009583,L2S_num_sum,1276.1375,3.782443777975332,L2S_num_max,1232.525,3.71116920912186,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,121.71428571428571,18.010466854492304,L2S_num_sum,1368.922077922078,4.582268652014696,L2S_num_max,1320.909090909091,4.442777430626016,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,277.28,26.95408548484486,L2S_num_sum,1399.1733333333334,3.263081687929694,L2S_num_max,1350.7733333333333,3.4772140310049093,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,576.25,33.228154189322964,L2S_num_sum,1377.0833333333333,4.5398922967101,L2S_num_max,1327.3333333333333,4.31038524615446,Adult_num,1.0833333333333333,0.08333333333333333,Food_cons_Ad,0.0,0.0
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,6.568181818181818,0.6864480561479532,L2S_num_sum,1131.9222222222222,2.823268210816444,L2S_num_max,1092.1333333333334,3.038792059112772,Adult_num,2.2962962962962963,0.13882714677030603,Food_cons_Ad,4.713685681338014e-06,4.32488232536489e-06
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,33.11764705882353,5.552636130822744,L2S_num_sum,1293.235294117647,3.5605859469172696,L2S_num_max,1247.9529411764706,3.483329884161357,Adult_num,1.25,0.16366341767699427,Food_cons_Ad,0.0,0.0
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,107.72413793103448,11.483059238145826,L2S_num_sum,1389.6896551724137,3.6416723756740597,L2S_num_max,1341.1149425287356,3.6324161034806486,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,314.96,27.48219040013348,L2S_num_sum,1425.9866666666667,3.29353685040641,L2S_num_max,1373.6133333333332,3.4251267265742285,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,583.0,33.49362552516033,L2S_num_sum,1391.4098360655737,4.573765595312418,L2S_num_max,1343.5901639344263,4.147642496435852,Adult_num,1.1538461538461537,0.10415433852097386,Food_cons_Ad,0.0,0.0
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,9.268292682926829,1.232654270012092,L2S_num_sum,1138.1882352941177,3.4317880500738136,L2S_num_max,1098.8588235294117,3.3818245842350874,Adult_num,2.4285714285714284,0.18933404984638486,Food_cons_Ad,4.04030201257544e-06,0.0
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,36.056179775280896,4.239851777195133,L2S_num_sum,1296.438202247191,4.086961850139956,L2S_num_max,1252.8314606741574,3.9198180354209144,Adult_num,1.105263157894737,0.07233518641434492,Food_cons_Ad,0.0,0.0
