,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,569.9764705882353,2.3386879219432424,L2S_num_sum,677.1529411764706,2.5803885383915444,L2S_num_max,654.435294117647,2.5062078141115096,Adult_num,23.258823529411764,0.6991697639865164,Food_cons_Ad,1.3983232746647813e-05,2.3174316915113427e-06
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,650.4044943820224,2.609194431719048,L2S_num_sum,750.1460674157304,2.5599826912339076,L2S_num_max,726.0786516853933,2.5242554054950284,Adult_num,1.8955223880597014,0.12241784063652607,Food_cons_Ad,1.526336315861833e-05,6.744345738871261e-06
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,685.6338028169014,2.6284497834718628,L2S_num_sum,776.1408450704225,2.6395304575010314,L2S_num_max,751.7183098591549,2.464899106468056,Adult_num,1.5957446808510638,0.12414210497508806,Food_cons_Ad,3.131234059745966e-05,2.0500625017642998e-05
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,692.3287671232877,2.8947845030453903,L2S_num_sum,776.8767123287671,3.000694060091378,L2S_num_max,751.931506849315,3.001098781981322,Adult_num,1.7173913043478262,0.1268840372789032,Food_cons_Ad,1.87874043584758e-05,1.1039428676235075e-05
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,678.9577464788732,3.656170144927514,L2S_num_sum,752.9577464788732,3.543715871930644,L2S_num_max,730.6197183098592,3.5146354652502447,Adult_num,1.8627450980392157,0.155977896481187,Food_cons_Ad,2.741633508533334e-05,9.217436285665742e-06
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,590.2159090909091,2.793130888969296,L2S_num_sum,697.1477272727273,2.533038729882853,L2S_num_max,674.1931818181819,2.407747094200401,Adult_num,23.443181818181817,0.765617260508589,Food_cons_Ad,1.5979063287439753e-05,2.6657750941509002e-06
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,665.6,2.590349379892587,L2S_num_sum,765.52,2.8139523677432647,L2S_num_max,743.32,2.6711107113769046,Adult_num,1.8545454545454545,0.1431210121540082,Food_cons_Ad,9.733454848477196e-06,4.228737999185034e-06
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,711.4,2.9093821516783427,L2S_num_sum,804.6,3.0679394146971433,L2S_num_max,779.8933333333333,2.999974374264928,Adult_num,1.702127659574468,0.16635309464254633,Food_cons_Ad,3.03022650943158e-05,3.7576956177453e-05
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,711.0434782608696,2.8266508716681105,L2S_num_sum,795.6666666666666,3.0992165956380067,L2S_num_max,773.1014492753624,3.0857415489438176,Adult_num,1.5588235294117647,0.15334172148598568,Food_cons_Ad,9.09067952829474e-06,9.146613573454157e-06
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,690.2898550724638,3.073627713066711,L2S_num_sum,767.2898550724638,3.096356895241409,L2S_num_max,733.3571428571429,11.032533026230173,Adult_num,1.7857142857142858,0.16533397827927543,Food_cons_Ad,1.51511325471579e-05,1.010074737954565e-05
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,593.4285714285714,2.696089641427681,L2S_num_sum,706.6483516483516,2.6391147008962763,L2S_num_max,682.989010989011,2.6730004682328925,Adult_num,23.824175824175825,0.8235830183892194,Food_cons_Ad,1.1483781489589424e-05,1.7565659559181266e-06
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,671.2025316455696,2.418243153673218,L2S_num_sum,772.7341772151899,2.497301943043497,L2S_num_max,749.5949367088608,2.7327410668014243,Adult_num,2.25,0.18063739958787642,Food_cons_Ad,1.0403777682381759e-05,4.144179833514695e-06
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,712.0506329113924,2.7986584358632913,L2S_num_sum,808.6455696202531,2.8096045902375275,L2S_num_max,784.0126582278481,2.7687277200122895,Adult_num,1.5576923076923077,0.10425871904343219,Food_cons_Ad,1.666624580187369e-05,1.1323053764906864e-05
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,717.8513513513514,2.822968839082687,L2S_num_sum,803.3783783783783,2.8247401418232028,L2S_num_max,779.3783783783783,2.7015362162470544,Adult_num,1.5714285714285714,0.12371791482634839,Food_cons_Ad,1.0774138700201173e-05,8.491038077881645e-06
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,695.7428571428571,3.3907489363856933,L2S_num_sum,767.6428571428571,3.179517504073604,L2S_num_max,743.8428571428572,3.138199541460529,Adult_num,2.2857142857142856,0.24743582965269678,Food_cons_Ad,1.6834591719064336e-05,9.064448242393278e-06
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,597.7317073170732,2.461877279879876,L2S_num_sum,707.9756097560976,2.356637758879195,L2S_num_max,684.3414634146342,2.2604582806859774,Adult_num,24.926829268292682,0.8445550647493747,Food_cons_Ad,1.4073718677137784e-05,2.4084114751457205e-06
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,676.0,2.8154153150899273,L2S_num_sum,780.4285714285714,2.8743172860119603,L2S_num_max,757.6428571428571,2.785898165371568,Adult_num,1.9152542372881356,0.12395238521638106,Food_cons_Ad,5.454407716976844e-06,3.137741514632001e-06
17,m2,0.900099,s_fed,0.4,L2S_num_last_timepoint,714.6184210526316,2.8384556651901804,L2S_num_sum,811.078947368421,2.928011309889403,L2S_num_max,785.2368421052631,2.8694927983299747,Adult_num,1.7272727272727273,0.1502768282874076,Food_cons_Ad,1.1447522368963747e-05,1.0972222438321347e-05
