,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,2243.4835164835163,4.53499114907501,L2S_num_sum,2380.3406593406594,4.691748915152809,L2S_num_max,2268.0,4.690754161451504,Adult_num,1465.065934065934,10.87832362244423,Food_cons_Ad,0.00021544577490134422,2.802266065903621e-05
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,2765.777777777778,6.076797605301864,L2S_num_sum,2920.4691358024693,6.435652202019302,L2S_num_max,2782.8271604938273,6.268252117297546,Adult_num,284.7654320987654,12.018366495135712,Food_cons_Ad,0.00028456695039188746,6.87321868870151e-05
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,3100.1216216216217,12.168886721329239,L2S_num_sum,3242.7567567567567,13.733673094962905,L2S_num_max,3103.824324324324,12.24409820291824,Adult_num,253.59459459459458,22.397290513186395,Food_cons_Ad,0.0019856977459750047,0.0007450389820232903
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,3139.2028985507245,25.412333464649826,L2S_num_sum,3257.7391304347825,27.355694792579992,L2S_num_max,3139.2028985507245,25.412333464649826,Adult_num,373.9710144927536,26.450632577961038,Food_cons_Ad,0.007314703295810493,0.001767912095821781
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,2603.9464285714284,73.53885102554771,L2S_num_sum,2686.6071428571427,76.54451501115632,L2S_num_max,2603.9464285714284,73.53885102554771,Adult_num,666.3214285714286,28.096264334841457,Food_cons_Ad,0.048813702395682654,0.00995274671071314
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,2422.964705882353,4.938542381797823,L2S_num_sum,2579.4470588235295,5.108062114587628,L2S_num_max,2454.8705882352942,4.999153660452005,Adult_num,1382.8117647058823,12.157711229087207,Food_cons_Ad,0.0001910825187123914,2.7370713797810874e-05
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,3011.3720930232557,5.658547920824281,L2S_num_sum,3185.3488372093025,5.701963264789806,L2S_num_max,3034.8720930232557,5.550312016263013,Adult_num,267.25581395348837,11.352831426920522,Food_cons_Ad,0.00031973254198282183,6.696931351488253e-05
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,3413.9871794871797,8.020339063357815,L2S_num_sum,3578.8333333333335,8.475944230092042,L2S_num_max,3421.0128205128203,8.053238058075015,Adult_num,213.52564102564102,14.00472928492303,Food_cons_Ad,0.0009887820195640705,0.00023145020740535872
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,3443.5671641791046,38.93751284783718,L2S_num_sum,3579.8358208955224,41.9876712807653,L2S_num_max,3443.6417910447763,38.94230096997433,Adult_num,397.25373134328356,31.897906049612082,Food_cons_Ad,0.012151359060358418,0.003239181883334551
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,3037.1641791044776,67.49691383472015,L2S_num_sum,3134.7462686567164,71.02336313451966,L2S_num_max,3037.1641791044776,67.49691383472015,Adult_num,624.3582089552239,25.79123034800987,Food_cons_Ad,0.03843789562075735,0.007081174289785724
