,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,1.28125,0.09239613829034057,L2S_num_sum,1.2727272727272727,0.08995713702301454,L2S_num_max,2.325,0.14965678032997431,Adult_num,55.023529411764706,1.3095187465262597,Food_cons_Ad,0.007008533652596414,0.0007805978184565104
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,1.0434782608695652,0.04347826086956522,L2S_num_sum,1.04,0.04000000000000001,L2S_num_max,1.8611111111111112,0.13016414873694884,Adult_num,35.69047619047619,1.1412035033973713,Food_cons_Ad,0.005160956733896812,0.0005897942152281294
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,1.1176470588235294,0.08054743492723031,L2S_num_sum,1.1176470588235294,0.08054743492723031,L2S_num_max,1.5818181818181818,0.11515151515151512,Adult_num,24.4125,0.9891330032413567,Food_cons_Ad,0.004015921315118305,0.0004761060949809568
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.5,0.12632278815997786,Adult_num,16.04054054054054,0.8317200897741214,Food_cons_Ad,0.003012700334485138,0.00038020202174407795
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,1.1428571428571428,0.14285714285714285,L2S_num_sum,1.2857142857142858,0.18442777839082938,L2S_num_max,1.4705882352941178,0.128305104548507,Adult_num,10.712121212121213,0.660848205230758,Food_cons_Ad,0.0023249030289256545,0.00031709219195133107
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,1.5714285714285714,0.10910894511799622,L2S_num_sum,1.5686274509803921,0.10573700990362953,L2S_num_max,2.988235294117647,0.18674126984124648,Adult_num,58.348314606741575,1.0716303012001547,Food_cons_Ad,0.007758639621233036,0.0008399473325476474
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,1.375,0.14511989046542054,L2S_num_sum,1.4,0.1414213562373095,L2S_num_max,2.380281690140845,0.1729914306656312,Adult_num,39.123456790123456,1.0397029959408253,Food_cons_Ad,0.005867142025656541,0.0006724009842773066
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,1.0769230769230769,0.07692307692307693,L2S_num_sum,1.0666666666666667,0.06666666666666667,L2S_num_max,1.7,0.14914723584157935,Adult_num,23.652173913043477,1.0613785063496706,Food_cons_Ad,0.004225277578629437,0.0005421269493813229
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,1.2105263157894737,0.1228070175438596,L2S_num_sum,1.2105263157894737,0.1228070175438596,L2S_num_max,1.7234042553191489,0.1315323748836368,Adult_num,16.069444444444443,0.8457586321667322,Food_cons_Ad,0.0033705658386853307,0.00042632018624804655
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.34375,0.11543549204027609,Adult_num,11.21875,0.544848143071018,Food_cons_Ad,0.00256107800308073,0.00033993964811722995
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,1.425,0.11814539065631521,L2S_num_sum,1.4146341463414633,0.11569308512811143,L2S_num_max,2.9080459770114944,0.21041587866952904,Adult_num,56.880434782608695,1.1807342609412277,Food_cons_Ad,0.007579924968956647,0.0008092334568307991
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,1.3846153846153846,0.11200169060431568,L2S_num_sum,1.3703703703703705,0.10871102010449521,L2S_num_max,2.4714285714285715,0.1850761452286129,Adult_num,38.5609756097561,1.2044904391481406,Food_cons_Ad,0.005683276044396514,0.0006556397262722042
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,1.0555555555555556,0.05555555555555556,L2S_num_sum,1.0555555555555556,0.05555555555555556,L2S_num_max,1.8867924528301887,0.1416786603040554,Adult_num,24.21917808219178,0.967753792603445,Food_cons_Ad,0.004230597470037597,0.0005256015737623977
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,1.25,0.16366341767699427,L2S_num_sum,1.2222222222222223,0.14698618394803278,L2S_num_max,1.6829268292682926,0.15396794245938175,Adult_num,15.782608695652174,0.9255927262068734,Food_cons_Ad,0.0031866125471139836,0.0004240357083132527
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1.2857142857142858,0.18442777839082938,L2S_num_sum,1.25,0.16366341767699427,L2S_num_max,1.4838709677419355,0.11236430518376887,Adult_num,10.40983606557377,0.5528747766698847,Food_cons_Ad,0.002548817901187294,0.00035237131598200627
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,1.3617021276595744,0.09820560242064914,L2S_num_sum,1.3541666666666667,0.09643275379624987,L2S_num_max,2.6923076923076925,0.18637192994911506,Adult_num,57.666666666666664,1.2926968760053104,Food_cons_Ad,0.007602333274412262,0.0008514762825180411
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,1.1764705882352942,0.09530501027070383,L2S_num_sum,1.1764705882352942,0.09530501027070383,L2S_num_max,1.9275362318840579,0.1327119588252005,Adult_num,35.70454545454545,1.1518871766087178,Food_cons_Ad,0.0055026617785133985,0.0006145913311878353
17,m2,0.900099,s_fed,0.4,L2S_num_last_timepoint,1.2222222222222223,0.14698618394803278,L2S_num_sum,1.2222222222222223,0.14698618394803278,L2S_num_max,2.0,0.1458029608799511,Adult_num,24.973333333333333,0.9863890527390108,Food_cons_Ad,0.004424507798624614,0.0005401057027316548
18,m2,0.8500989999999999,s_fed,0.4,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.607843137254902,0.11907628588775668,Adult_num,16.7027027027027,0.5729719251420707,Food_cons_Ad,0.003482617487819377,0.00042379514155567585
19,m2,0.800099,s_fed,0.4,L2S_num_last_timepoint,1.3333333333333333,0.3333333333333333,L2S_num_sum,1.3333333333333333,0.3333333333333333,L2S_num_max,1.2727272727272727,0.08995713702301454,Adult_num,10.15,0.5195744673467355,Food_cons_Ad,0.002461587670345025,0.0003411713366578747
20,m2,0.990099,s_fed,0.5,L2S_num_last_timepoint,1.3478260869565217,0.16162093517992787,L2S_num_sum,1.32,0.1496662954709576,L2S_num_max,2.710843373493976,0.16666873192347112,Adult_num,56.701149425287355,1.2493371610692328,Food_cons_Ad,0.007222330099059962,0.0007937789068083903
21,m2,0.950099,s_fed,0.5,L2S_num_last_timepoint,1.2272727272727273,0.11265812709673681,L2S_num_sum,1.2173913043478262,0.10810114095792364,L2S_num_max,2.2,0.14185987312303813,Adult_num,38.28235294117647,1.0148217771675043,Food_cons_Ad,0.005655567224238247,0.0006322803920457562
22,m2,0.900099,s_fed,0.5,L2S_num_last_timepoint,1.1538461538461537,0.15384615384615388,L2S_num_sum,1.125,0.125,L2S_num_max,1.5185185185185186,0.10149387571152611,Adult_num,25.649350649350648,1.007620694864127,Food_cons_Ad,0.0043833079120066815,0.0005307792677794926
23,m2,0.8500989999999999,s_fed,0.5,L2S_num_last_timepoint,1.4,0.24494897427831777,L2S_num_sum,1.3333333333333333,0.210818510677892,L2S_num_max,1.4166666666666667,0.10819588350001676,Adult_num,14.603174603174603,0.8097396377047953,Food_cons_Ad,0.0029983530157768183,0.00041022696341607925
24,m2,0.800099,s_fed,0.5,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.3076923076923077,0.12113858267710476,Adult_num,10.5,0.613586257373888,Food_cons_Ad,0.002276410317921265,0.0003122838602411018
25,m2,0.990099,s_fed,0.6,L2S_num_last_timepoint,1.4137931034482758,0.17558657064651834,L2S_num_sum,1.4137931034482758,0.17558657064651834,L2S_num_max,2.3205128205128207,0.16372046967012877,Adult_num,55.891304347826086,1.3526933831630557,Food_cons_Ad,0.0071122819691641515,0.0007655777932683964
26,m2,0.950099,s_fed,0.6,L2S_num_last_timepoint,1.1666666666666667,0.09829463743659808,L2S_num_sum,1.2083333333333333,0.10389457216622948,L2S_num_max,1.9466666666666668,0.12139331256842915,Adult_num,39.082352941176474,1.092527684232291,Food_cons_Ad,0.005799615874227775,0.0006544534866201595
27,m2,0.900099,s_fed,0.6,L2S_num_last_timepoint,1.0769230769230769,0.07692307692307694,L2S_num_sum,1.0769230769230769,0.07692307692307694,L2S_num_max,1.6808510638297873,0.13973141601109487,Adult_num,24.460526315789473,0.8020676765149336,Food_cons_Ad,0.004258159350042995,0.0005078403170254181
28,m2,0.8500989999999999,s_fed,0.6,L2S_num_last_timepoint,1.125,0.125,L2S_num_sum,1.125,0.125,L2S_num_max,1.4883720930232558,0.11222156647212317,Adult_num,17.257142857142856,0.8018316800816057,Food_cons_Ad,0.0034058735890507815,0.0004305938326778468
29,m2,0.800099,s_fed,0.6,L2S_num_last_timepoint,1.3333333333333333,0.3333333333333333,L2S_num_sum,1.3333333333333333,0.3333333333333333,L2S_num_max,1.2758620689655173,0.10982018132811804,Adult_num,11.397058823529411,0.7127152281497168,Food_cons_Ad,0.0025311760170014736,0.00033955262290420973
30,m2,0.990099,s_fed,0.7,L2S_num_last_timepoint,1.4473684210526316,0.14459128850914532,L2S_num_sum,1.425,0.1381540388897062,L2S_num_max,2.3766233766233764,0.15136535250224037,Adult_num,57.80232558139535,0.9972355451658514,Food_cons_Ad,0.007153084576793046,0.000793457883329802
31,m2,0.950099,s_fed,0.7,L2S_num_last_timepoint,1.3125,0.11967838846954226,L2S_num_sum,1.3125,0.11967838846954226,L2S_num_max,1.876923076923077,0.1306560596266387,Adult_num,38.51136363636363,1.0686951288940623,Food_cons_Ad,0.005432381184129877,0.0006054756147217197
32,m2,0.900099,s_fed,0.7,L2S_num_last_timepoint,1.25,0.16366341767699427,L2S_num_sum,1.25,0.16366341767699427,L2S_num_max,1.75,0.12455594886300342,Adult_num,22.90909090909091,0.9675496702402565,Food_cons_Ad,0.003798303663458584,0.0004638638772340608
33,m2,0.8500989999999999,s_fed,0.7,L2S_num_last_timepoint,1.2,0.19999999999999998,L2S_num_sum,1.2,0.19999999999999998,L2S_num_max,1.358974358974359,0.10051943022691537,Adult_num,15.826086956521738,0.8383793996703498,Food_cons_Ad,0.003003920630023616,0.00039427423670871503
34,m2,0.800099,s_fed,0.7,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.2941176470588236,0.115850815039372,Adult_num,11.063492063492063,0.6487109656739829,Food_cons_Ad,0.0023108122570257364,0.0003254919986864001
35,m2,0.990099,s_fed,0.8,L2S_num_last_timepoint,1.5263157894736843,0.17174877491850515,L2S_num_sum,1.564102564102564,0.17919776164855955,L2S_num_max,2.275,0.1677994206474513,Adult_num,57.06818181818182,1.263567482692984,Food_cons_Ad,0.006920635612966615,0.0007618570256083733
36,m2,0.950099,s_fed,0.8,L2S_num_last_timepoint,1.380952380952381,0.16148404721726836,L2S_num_sum,1.380952380952381,0.16148404721726836,L2S_num_max,2.3275862068965516,0.20190851497080287,Adult_num,40.21917808219178,1.0361147158824717,Food_cons_Ad,0.005521764532720738,0.0006694820638296297
37,m2,0.900099,s_fed,0.8,L2S_num_last_timepoint,1.2941176470588236,0.1425788193357744,L2S_num_sum,1.2941176470588236,0.1425788193357744,L2S_num_max,1.5517241379310345,0.12340308142017706,Adult_num,24.642857142857142,0.9911604227822364,Food_cons_Ad,0.003913633734597852,0.0004582091620971272
38,m2,0.8500989999999999,s_fed,0.8,L2S_num_last_timepoint,1.0,0.0,L2S_num_sum,1.0,0.0,L2S_num_max,1.7045454545454546,0.16762091484537317,Adult_num,17.26086956521739,0.852920406551387,Food_cons_Ad,0.00320889276328478,0.00041625717948953604
39,m2,0.800099,s_fed,0.8,L2S_num_last_timepoint,1.1666666666666667,0.16666666666666669,L2S_num_sum,1.1666666666666667,0.16666666666666669,L2S_num_max,1.4,0.11547005383792516,Adult_num,9.559322033898304,0.6107698844952636,Food_cons_Ad,0.0020035095984080546,0.00028804116040381073
40,m2,0.990099,s_fed,0.9,L2S_num_last_timepoint,1.5116279069767442,0.1863922590207937,L2S_num_sum,1.5116279069767442,0.1863922590207937,L2S_num_max,2.4415584415584415,0.15299862902354694,Adult_num,57.49425287356322,1.0619508110320812,Food_cons_Ad,0.006714633643002746,0.0007397463470937643
41,m2,0.950099,s_fed,0.9,L2S_num_last_timepoint,1.9230769230769231,0.25372957696108683,L2S_num_sum,1.9230769230769231,0.25372957696108683,L2S_num_max,2.264705882352941,0.150529715912234,Adult_num,37.666666666666664,1.0946476996664734,Food_cons_Ad,0.005166826450162207,0.0005800299965608182
42,m2,0.900099,s_fed,0.9,L2S_num_last_timepoint,1.5238095238095237,0.21402100051661174,L2S_num_sum,1.5,0.19034674690672027,L2S_num_max,1.6538461538461537,0.1755934032829313,Adult_num,24.08974358974359,0.9431361478344187,Food_cons_Ad,0.003773098192936076,0.0004547015569319237
43,m2,0.8500989999999999,s_fed,0.9,L2S_num_last_timepoint,1.4210526315789473,0.1763136073880858,L2S_num_sum,1.4210526315789473,0.1763136073880858,L2S_num_max,1.6444444444444444,0.14618224254646903,Adult_num,15.546666666666667,0.632254177799835,Food_cons_Ad,0.002808036834086681,0.00034725974448697206
44,m2,0.800099,s_fed,0.9,L2S_num_last_timepoint,1.9090909090909092,0.3149183286488868,L2S_num_sum,1.9166666666666667,0.3361622383686938,L2S_num_max,1.8214285714285714,0.2415425046592572,Adult_num,10.571428571428571,0.6991911573972889,Food_cons_Ad,0.0021399069755902852,0.0003144168781045072
