,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,88.26966292134831,4.9942961348696775,L2S_num_sum,1033.0112359550562,2.858221765429244,L2S_num_max,994.8314606741573,2.7867809563795425,Adult_num,4.586206896551724,0.23610926985825753,Food_cons_Ad,5.723761184481874e-06,4.305177626117063e-06
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,225.3625,12.297772307143859,L2S_num_sum,1194.725,3.3063505733548655,L2S_num_max,1153.55,3.393585721715736,Adult_num,1.0909090909090908,0.06273323266748675,Food_cons_Ad,0.0,0.0
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,511.12857142857143,22.469283578371794,L2S_num_sum,1279.8714285714286,4.4341476281033145,L2S_num_max,1235.9142857142858,4.352802712303082,Adult_num,1.3571428571428572,0.13289435848843761,Food_cons_Ad,2.02015100628772e-06,0.0
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,750.7164179104477,20.59327881872435,L2S_num_sum,1314.0149253731342,3.67029296467545,L2S_num_max,1268.6268656716418,3.6734550758084135,Adult_num,1.2,0.10690449676496976,Food_cons_Ad,2.8029595212242116e-05,1.8599733787604683e-05
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,997.8904109589041,12.16215531616368,L2S_num_sum,1292.2191780821918,4.470359279864875,L2S_num_max,1245.4246575342465,4.397094905779664,Adult_num,1.2916666666666667,0.12739256153441425,Food_cons_Ad,1.9864818228495915e-05,1.872047923366073e-05
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,100.26086956521739,5.362222745057358,L2S_num_sum,1094.8478260869565,3.4198534621364334,L2S_num_max,1055.0652173913043,3.5700218463916746,Adult_num,4.3,0.24400425693673042,Food_cons_Ad,7.162353567747371e-06,3.62400636070759e-06
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,268.0952380952381,14.126250461737914,L2S_num_sum,1270.547619047619,3.872183512255473,L2S_num_max,1226.7857142857142,3.9515159523212176,Adult_num,1.2142857142857142,0.0789672569132238,Food_cons_Ad,0.0,0.0
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,549.8589743589744,23.928184569029785,L2S_num_sum,1375.3589743589744,4.664536442074246,L2S_num_max,1327.551282051282,4.6516210329015495,Adult_num,1.0909090909090908,0.09090909090909094,Food_cons_Ad,3.03022650943158e-06,0.0
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,847.5223880597015,20.96655127505465,L2S_num_sum,1402.8955223880596,4.576804946963555,L2S_num_max,1353.7761194029852,4.510293814371684,Adult_num,1.1875,0.10077822185373188,Food_cons_Ad,0.0,0.0
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,1060.1515151515152,14.811972137858632,L2S_num_sum,1376.2727272727273,5.081918468138229,L2S_num_max,1327.8333333333333,4.822276558260756,Adult_num,1.1578947368421053,0.08594700851870798,Food_cons_Ad,0.0,0.0
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,113.41573033707866,6.837001433959051,L2S_num_sum,1114.7303370786517,3.6897272032991872,L2S_num_max,1074.2022471910113,3.513878066206587,Adult_num,4.784090909090909,0.27067047042902265,Food_cons_Ad,5.55541526729123e-06,4.102943556943036e-06
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,288.01149425287355,14.076313700391877,L2S_num_sum,1291.7701149425288,3.510388643451622,L2S_num_max,1247.9885057471265,3.399391986646374,Adult_num,1.2647058823529411,0.08763910287019504,Food_cons_Ad,0.0,0.0
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,593.8780487804878,22.309141600008026,L2S_num_sum,1392.0121951219512,4.346325250196947,L2S_num_max,1343.560975609756,4.262223068610215,Adult_num,1.0714285714285714,0.07142857142857142,Food_cons_Ad,3.03022650943158e-06,0.0
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,890.3783783783783,21.51743223367176,L2S_num_sum,1415.4594594594594,4.500244313956493,L2S_num_max,1365.2027027027027,4.369883626165682,Adult_num,1.0952380952380953,0.09523809523809529,Food_cons_Ad,1.616120805030176e-05,0.0
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,1073.1527777777778,12.691624468905129,L2S_num_sum,1392.25,4.04298838559697,L2S_num_max,1340.638888888889,3.843083413543972,Adult_num,1.3333333333333333,0.14364860122855574,Food_cons_Ad,2.52518875785965e-05,0.0
