,a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,r,s,t,u
0,m2,0.990099,s_fed,0.1,L2S_num_last_timepoint,2.9759036144578315,0.5485470626960773,L2S_num_sum,1033.75,2.9719692141913265,L2S_num_max,996.33,2.893638267690421,Adult_num,1.7424242424242424,0.11075205104859849,Food_cons_Ad,2.02015100628772e-06,2.020148965782676e-06
1,m2,0.950099,s_fed,0.1,L2S_num_last_timepoint,14.726315789473684,1.725407403098144,L2S_num_sum,1191.6161616161617,3.52535087006997,L2S_num_max,1152.3535353535353,3.4274683510315356,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
2,m2,0.900099,s_fed,0.1,L2S_num_last_timepoint,70.05,8.588215734071278,L2S_num_sum,1290.39,3.1049616533359745,L2S_num_max,1246.44,3.1217490564933583,Adult_num,1.0,0.0,Food_cons_Ad,0.000252518875785965,0.0
3,m2,0.8500989999999999,s_fed,0.1,L2S_num_last_timepoint,188.39175257731958,17.840113907705646,L2S_num_sum,1320.6082474226805,3.859277122728456,L2S_num_max,1276.2680412371135,3.7310954033523442,Adult_num,1.0,0.0,Food_cons_Ad,2.676700083331229e-05,1.7755493427481354e-05
4,m2,0.800099,s_fed,0.1,L2S_num_last_timepoint,519.5212765957447,27.886337955972152,L2S_num_sum,1296.968085106383,3.853394695749546,L2S_num_max,1253.5851063829787,3.83103467952625,Adult_num,1.1428571428571428,0.09705231721239393,Food_cons_Ad,2.3837781874195097e-05,1.4003294175151626e-05
5,m2,0.990099,s_fed,0.2,L2S_num_last_timepoint,3.9767441860465116,0.49649296587885405,L2S_num_sum,1104.91,2.9014484366093827,L2S_num_max,1064.94,2.81947842443573,Adult_num,1.7466666666666666,0.1075414578902721,Food_cons_Ad,1.919143455973334e-05,0.0
6,m2,0.950099,s_fed,0.2,L2S_num_last_timepoint,24.5,4.828649205045016,L2S_num_sum,1270.8061224489795,2.9676231071009602,L2S_num_max,1229.1020408163265,2.962295135035712,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
7,m2,0.900099,s_fed,0.2,L2S_num_last_timepoint,71.6734693877551,9.897579600608934,L2S_num_sum,1372.5408163265306,3.9006753143694315,L2S_num_max,1326.061224489796,3.7306712420655677,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
8,m2,0.8500989999999999,s_fed,0.2,L2S_num_last_timepoint,236.4747474747475,21.73079963412473,L2S_num_sum,1404.5353535353536,3.1806825562554857,L2S_num_max,1356.4646464646464,3.194973670883737,Adult_num,1.2222222222222223,0.14698618394803278,Food_cons_Ad,0.0,0.0
9,m2,0.800099,s_fed,0.2,L2S_num_last_timepoint,566.7291666666666,32.12428058845868,L2S_num_sum,1378.3229166666667,3.648584644825061,L2S_num_max,1332.7604166666667,3.623714072934431,Adult_num,1.2857142857142858,0.12529400275814703,Food_cons_Ad,0.0,0.0
10,m2,0.990099,s_fed,0.3,L2S_num_last_timepoint,6.157303370786517,2.0388776777888924,L2S_num_sum,1117.5656565656566,3.015563341530475,L2S_num_max,1078.828282828283,3.004087108181732,Adult_num,1.948051948051948,0.1394453713267353,Food_cons_Ad,1.01007550314386e-06,0.0
11,m2,0.950099,s_fed,0.3,L2S_num_last_timepoint,21.68,4.358733946475928,L2S_num_sum,1293.01,3.3659163580357925,L2S_num_max,1251.82,3.2381682064607644,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
12,m2,0.900099,s_fed,0.3,L2S_num_last_timepoint,93.38383838383838,12.095891749310184,L2S_num_sum,1391.6161616161617,4.164710909479262,L2S_num_max,1342.8080808080808,3.927913542387379,Adult_num,1.2,0.13333333333333333,Food_cons_Ad,3.03022650943158e-05,0.0
13,m2,0.8500989999999999,s_fed,0.3,L2S_num_last_timepoint,240.0,24.73436932197543,L2S_num_sum,1427.463157894737,3.7379986538875194,L2S_num_max,1378.3894736842105,3.6371017939479096,Adult_num,1.1428571428571428,0.14285714285714285,Food_cons_Ad,0.0,0.0
14,m2,0.800099,s_fed,0.3,L2S_num_last_timepoint,525.2989690721649,27.826973539881635,L2S_num_sum,1404.4226804123712,3.6857565495683633,L2S_num_max,1355.4742268041236,3.7425496661140185,Adult_num,1.0714285714285714,0.07142857142857144,Food_cons_Ad,0.0,0.0
15,m2,0.990099,s_fed,0.4,L2S_num_last_timepoint,5.011111111111111,0.8135086758320672,L2S_num_sum,1118.28,3.167163597373089,L2S_num_max,1079.21,3.0582986952047224,Adult_num,1.9589041095890412,0.13990423470185875,Food_cons_Ad,4.797858639933335e-06,3.987344935466151e-06
16,m2,0.950099,s_fed,0.4,L2S_num_last_timepoint,25.74,3.001333710270159,L2S_num_sum,1300.34,3.5917194329246387,L2S_num_max,1257.64,3.483395533734928,Adult_num,1.1428571428571428,0.09705231721239393,Food_cons_Ad,0.0,0.0
17,m2,0.900099,s_fed,0.4,L2S_num_last_timepoint,84.37755102040816,12.453494514681756,L2S_num_sum,1405.5816326530612,3.6553878874762695,L2S_num_max,1359.3877551020407,3.4187276659599295,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
18,m2,0.8500989999999999,s_fed,0.4,L2S_num_last_timepoint,248.86458333333334,19.487521984906333,L2S_num_sum,1438.0729166666667,3.2673707437509876,L2S_num_max,1386.65625,3.281788802880303,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
19,m2,0.800099,s_fed,0.4,L2S_num_last_timepoint,511.92929292929296,28.453973048702487,L2S_num_sum,1402.5050505050506,3.8181011052298657,L2S_num_max,1354.1313131313132,3.657227589224233,Adult_num,1.1818181818181819,0.12196734422726126,Food_cons_Ad,1.313098154087018e-05,0.0
20,m2,0.990099,s_fed,0.5,L2S_num_last_timepoint,5.225806451612903,0.5933496628525329,L2S_num_sum,1124.69,3.2289002724916984,L2S_num_max,1085.17,3.2113767147502963,Adult_num,1.894736842105263,0.12365621183653397,Food_cons_Ad,5.55541526729123e-06,5.578318705076467e-06
21,m2,0.950099,s_fed,0.5,L2S_num_last_timepoint,32.71,8.134169045489898,L2S_num_sum,1302.24,3.7676753811571637,L2S_num_max,1261.1,3.576367436436591,Adult_num,1.1333333333333333,0.09085135251589958,Food_cons_Ad,0.0,0.0
22,m2,0.900099,s_fed,0.5,L2S_num_last_timepoint,108.1010101010101,13.556850185841366,L2S_num_sum,1407.4444444444443,3.3507344878957483,L2S_num_max,1357.949494949495,3.486682078212419,Adult_num,1.0909090909090908,0.09090909090909091,Food_cons_Ad,0.0,0.0
23,m2,0.8500989999999999,s_fed,0.5,L2S_num_last_timepoint,312.30927835051546,25.0676677035312,L2S_num_sum,1429.979381443299,4.10038289693935,L2S_num_max,1378.5670103092784,4.034774401487234,Adult_num,1.0,0.0,Food_cons_Ad,0.0,0.0
24,m2,0.800099,s_fed,0.5,L2S_num_last_timepoint,618.5274725274726,31.411286946859708,L2S_num_sum,1413.010989010989,4.152275352097011,L2S_num_max,1361.2087912087911,4.323418256104785,Adult_num,1.2,0.10690449676496977,Food_cons_Ad,0.0,0.0
25,m2,0.990099,s_fed,0.6,L2S_num_last_timepoint,4.729166666666667,0.381731732368526,L2S_num_sum,1133.44,3.424638003431233,L2S_num_max,1092.6,3.387827288598659,Adult_num,1.9295774647887325,0.13203856467013578,Food_cons_Ad,1.01007550314386e-06,0.0
